3,18.375,19.875,22.75,21,25.75,22.4,24.55,,24.5,26.5
5,18.75,20.25,22.5,21,24.5,21.2,23.2,,25,27
7,20.625,21.375,24.25,24,27,23.2,25.3,,27.5,28.5
9,18.375,19.875,22.5,21.75,24.5,21.1,23.5,,24.5,26.5
12,18.375,19.875,22.75,21,24.75,21.7,23.8,,24.5,26.5
95,22.5,21.5,25.25,25.5,28,23.25,25.75,,,
96,22.5,21.5,25.25,25.5,28,23.2,25,,,
131,20.5,21.5,23.5,23,26,22.75,25,,,
